Instrument,Tenor,QuoteType,Quote,Spread
Cash,O/N,RATE,3.550,1.0
Cash,1M,RATE,3.608,1.2
Cash,3M,RATE,3.649,1.5
Future,SR3M6,PRICE,96.330,0.5
Future,SR3U6,PRICE,96.250,0.6
Future,SR3Z6,PRICE,96.155,0.5
Future,SR3H7,PRICE,96.080,0.8
Future,SR3M7,PRICE,96.065,0.7
Future,SR3U7,PRICE,96.095,0.9
Future,SR3Z7,PRICE,96.140,0.8
Future,SR3H8,PRICE,96.170,1.1
Future,SR3M8,PRICE,96.180,1.0
Swap,1Y,RATE,3.849,2.0
Swap,2Y,RATE,3.899,2.2
Swap,3Y,RATE,3.889,2.5
Swap,5Y,RATE,3.906,2.8
Swap,7Y,RATE,3.975,3.2
Swap,10Y,RATE,4.089,3.5
Swap,15Y,RATE,4.264,4.0
Swap,30Y,RATE,4.308,5.0
